+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+----------------+
| substance                                                                                                                                                                                                                                   | count_allergic_patients | count_medicine |
| Cefazolin Sodium                                                                                                                                                                                                                            |                       0 |             42 |
| Unipessoal Lda.                                                                                                                                                                                                                             |                       0 |              1 |
| Xylene                                                                                                                                                                                                                                      |                       0 |              2 |
| Arginine L(+) Hydrochloride                                                                                                                                                                                                                 |                       0 |              1 |
| Nicotine Bitartrate Dihydrate                                                                                                                                                                                                               |                       0 |              3 |
| Oxytetracycline Dihydrate Bp                                                                                                                                                                                                                |                       0 |              2 |
| Phenytoin                                                                                                                                                                                                                                   |                       0 |             16 |
| Baclofen Ph. Eur.                                                                                                                                                                                                                           |                       0 |              1 |
| Édulcoré À L’acésulfame Potassique                                                                                                                                                                                                          |                       0 |              1 |
| Noscapine Ujotit Ksh-4                                                                                                                                                                                                                      |                       0 |              2 |
| Parietaria Officinalis L.                                                                                                                                                                                                                   |                       0 |              8 |
| Pirtobrutinib                                                                                                                                                                                                                               |                       0 |              1 |
| Chloramphenicol Bp                                                                                                                                                                                                                          |                       0 |              3 |
| Copper                                                                                                                                                                                                                                      |                       0 |              1 |
| Benzylpenicillin Calcium                                                                                                                                                                                                                    |                       0 |              0 |
| Pepsin                                                                                                                                                                                                                                      |                       0 |              1 |
| Cidofovir                                                                                                                                                                                                                                   |                       0 |              2 |
| Flupentixol Hydrochloride                                                                                                                                                                                                                   |                       0 |              3 |
| 5 Mega                                                                                                                                                                                                                                      |                       0 |              1 |
| Cycloserine                                                                                                                                                                                                                                 |                       0 |              2 |
| Binimetinib                                                                                                                                                                                                                                 |                       0 |              1 |
| Protamine Sulfate                                                                                                                                                                                                                           |                       0 |             20 |
| Pressed Juice From Fresh Stinging Nettle Herb (1 : 0.55 – 0.82)                                                                                                                                                                             |                       0 |              1 |
| Clevidipine                                                                                                                                                                                                                                 |                       0 |              1 |
| Fraxinus Excelsior Pollen Extract                                                                                                                                                                                                           |                       0 |              2 |
| Acetazolamide                                                                                                                                                                                                                               |                       0 |             24 |
| Hamamelis Leaf And Twigs Distillate                                                                                                                                                                                                         |                       0 |              2 |
| Delafloxacin                                                                                                                                                                                                                                |                       0 |              1 |
| Bromazepam                                                                                                                                                                                                                                  |                       0 |             53 |
| Quizartinib                                                                                                                                                                                                                                 |                       0 |              1 |
| Salvia Officinalis L. Folium                                                                                                                                                                                                                |                       0 |              3 |
| Cod-Liver Oil (Type A)                                                                                                                                                                                                                      |                       0 |              1 |
| Gefitinib                                                                                                                                                                                                                                   |                       0 |             37 |
| Holcus Lanatus Pollen                                                                                                                                                                                                                       |                       0 |              2 |
| Rhenium Sulfide Colloid (186re)                                                                                                                                                                                                             |                       0 |              3 |
| Sertaconazole                                                                                                                                                                                                                               |                       0 |              1 |
| Stannous Chloride                                                                                                                                                                                                                           |                       0 |              1 |
| Hydrogen Peroxide Solution (3 Per Cent)                                                                                                                                                                                                     |                       0 |              2 |
| Rosuvastatin                                                                                                                                                                                                                                |                       0 |            232 |
| Sodium Chloride                                                                                                                                                                                                                             |                       0 |            272 |
| Sodium Thiosulfate                                                                                                                                                                                                                          |                       0 |              7 |
| Tea Leaf                                                                                                                                                                                                                                    |                       0 |              1 |
| Imlifidase                                                                                                                                                                                                                                  |                       0 |              1 |
| Drotaverine Hydrochloride                                                                                                                                                                                                                   |                       0 |             26 |
| Esketamine                                                                                                                                                                                                                                  |                       0 |             11 |
| Tetracycline Hydrochloride Ph. Eur.                                                                                                                                                                                                         |                       0 |              1 |
| Iopamidol                                                                                                                                                                                                                                   |                       0 |             20 |
| Leuprorelin Acetate                                                                                                                                                                                                                         |                       0 |             45 |
| Etoposide                                                                                                                                                                                                                                   |                       0 |             39 |
| Joint & Back Pain Relief                                                                                                                                                                                                                    |                       0 |              1 |
| Liquid Extract Of Hawthorn Berries (1:1): Extraction Solvent: 70 % (V/V) Ethanol                                                                                                                                                            |                       0 |              2 |
| Butylhydroxytoluene                                                                                                                                                                                                                         |                       0 |              1 |
| Melilot                                                                                                                                                                                                                                     |                       0 |              1 |
| Tinzaparin Sodium                                                                                                                                                                                                                           |                       0 |              4 |
| Fentanyl Citrate                                                                                                                                                                                                                            |                       0 |             43 |
| Aluminium Chlorhydroxide-Complex                                                                                                                                                                                                            |                       0 |              1 |
| Lutetium (177lu) Zadavotide Guraxetan                                                                                                                                                                                                       |                       0 |              2 |
| Camellia Sinensis                                                                                                                                                                                                                           |                       0 |              1 |
| Metformin                                                                                                                                                                                                                                   |                       0 |              9 |
| Trastuzumab Emtansine                                                                                                                                                                                                                       |                       0 |              1 |
| Ammonium Chloride                                                                                                                                                                                                                           |                       0 |              1 |
| Moxonidine                                                                                                                                                                                                                                  |                       0 |             45 |
| Manganese Sulphate Monohydrate                                                                                                                                                                                                              |                       0 |              1 |
| Carpinus Betulus L.                                                                                                                                                                                                                         |                       0 |              6 |
| Metronidazole Bp                                                                                                                                                                                                                            |                       0 |              2 |
| Tropicamide                                                                                                                                                                                                                                 |                       0 |             28 |
| Vorasidenib                                                                                                                                                                                                                                 |                       0 |              1 |
| Apis Cum Levistico Dil. D3 Aquos.                                                                                                                                                                                                           |                       0 |              1 |
| Nebivolol                                                                                                                                                                                                                                   |                       0 |             61 |
| Oxacillin                                                                                                                                                                                                                                   |                       0 |              8 |
| Molsidomine                                                                                                                                                                                                                                 |                       0 |             16 |
| Ceftriaxone Disodium Salt Hemiheptahydrate                                                                                                                                                                                                  |                       0 |             30 |
| Valeriana Officinalis Dry Extract                                                                                                                                                                                                           |                       0 |              1 |
| Au Sorbitol Et Au Maltitol Liquide                                                                                                                                                                                                          |                       0 |              1 |
| Nitrofural                                                                                                                                                                                                                                  |                       0 |              7 |
| Pancreas Powder From Porcine                                                                                                                                                                                                                |                       0 |             21 |
| Pinaverium Bromide                                                                                                                                                                                                                          |                       0 |              8 |
| Cetirizine Dihydrochloride                                                                                                                                                                                                                  |                       0 |            287 |
| Bempedoic Acid                                                                                                                                                                                                                              |                       0 |              1 |
| Olanzapine Micronized                                                                                                                                                                                                                       |                       0 |              4 |
| Pegvisomant                                                                                                                                                                                                                                 |                       0 |              1 |
| Plumbum Mellitum Dil. D20                                                                                                                                                                                                                   |                       0 |              1 |
| Chlorphenoxamine Hydrochloride                                                                                                                                                                                                              |                       0 |              1 |
| Fludrocortisone Acetate                                                                                                                                                                                                                     |                       0 |             36 |
| Crataegus Oxyacantha Tm                                                                                                                                                                                                                     |                       0 |              1 |
| Betamethasone Valerate                                                                                                                                                                                                                      |                       0 |             23 |
| Phenobarbital                                                                                                                                                                                                                               |                       0 |             28 |
| Praziquantel                                                                                                                                                                                                                                |                       0 |              2 |
| Cisapride                                                                                                                                                                                                                                   |                       0 |              1 |
| Fomepizole                                                                                                                                                                                                                                  |                       0 |              2 |
| 9 % Nacl Ebewe                                                                                                                                                                                                                              |                       0 |              1 |
| Goserelin                                                                                                                                                                                                                                   |                       0 |             16 |
| Danazol                                                                                                                                                                                                                                     |                       0 |              4 |
| Pyridoxine                                                                                                                                                                                                                                  |                       0 |              1 |
| Proguanil Hydrochloride                                                                                                                                                                                                                     |                       0 |              1 |
| Clopidogrel Hydrogen Sulfate                                                                                                                                                                                                                |                       0 |             19 |
| Gabexate Mesilate                                                                                                                                                                                                                           |                       0 |              2 |
| Helleborus Niger D20 Aquos.                                                                                                                                                                                                                 |                       0 |              1 |
| Desvenlafaxine Benzoate                                                                                                                                                                                                                     |                       0 |              2 |
| Rauwolfia Serpentina D4                                                                                                                                                                                                                     |                       0 |              1 |
| Secale Cereale Pollen Extract                                                                                                                                                                                                               |                       0 |              1 |
| Givinostat                                                                                                                                                                                                                                  |                       0 |              1 |
| Aliskiren                                                                                                                                                                                                                                   |                       0 |              1 |
| Human Plasma Derived Antithrombin                                                                                                                                                                                                           |                       0 |              1 |
| Diethylcarbamazine Citrate                                                                                                                                                                                                                  |                       0 |              1 |
| Risdiplam                                                                                                                                                                                                                                   |                       0 |              1 |
| Simoctocog Alfa                                                                                                                                                                                                                             |                       0 |              1 |
| Sucroferric Oxyhydroxide                                                                                                                                                                                                                    |                       0 |              1 |
| Hyperici Extractum Siccum                                                                                                                                                                                                                   |                       0 |              2 |
| Benralizumab                                                                                                                                                                                                                                |                       0 |              1 |
| Olsalazine Sodium                                                                                                                                                                                                                           |                       0 |              2 |
| Pemetrexed Disodium Heptahydrate                                                                                                                                                                                                            |                       0 |              3 |
| Polydeoxyribonucleotide Sodium                                                                                                                                                                                                              |                       0 |              1 |
| Choline Salicylate                                                                                                                                                                                                                          |                       0 |             10 |
| 4                                                                                                                                                                                                                                           |                       0 |              2 |
| Cuprum Arsenicosum D12                                                                                                                                                                                                                      |                       0 |              1 |
| Betula Verrucosa (108)                                                                                                                                                                                                                      |                       0 |              5 |
| Phenoxymethylpenicillin Benzathine Lecithinated                                                                                                                                                                                             |                       0 |              1 |
| Prednisolone Sodium Phosphate                                                                                                                                                                                                               |                       0 |             18 |
| Foscarnet                                                                                                                                                                                                                                   |                       0 |              1 |
| Abiraterone                                                                                                                                                                                                                                 |                       0 |             10 |
| Griseofulvin Bp                                                                                                                                                                                                                             |                       0 |              1 |
| Darbepoetin Alfa                                                                                                                                                                                                                            |                       0 |              1 |
| Bovine Bile Extract                                                                                                                                                                                                                         |                       0 |              2 |
| Quercus Robur L.                                                                                                                                                                                                                            |                       0 |              4 |
| Propiomazine                                                                                                                                                                                                                                |                       0 |              2 |
| Clozapine                                                                                                                                                                                                                                   |                       0 |             68 |
| Gallium (68ga) Chloride                                                                                                                                                                                                                     |                       0 |              3 |
| Aesculus Hippocastanum D2                                                                                                                                                                                                                   |                       0 |              1 |
| Heparin Sodium Ph. Eur.                                                                                                                                                                                                                     |                       0 |              2 |
| Dexamethasone Phosphate                                                                                                                                                                                                                     |                       0 |             72 |
| Remibrutinib                                                                                                                                                                                                                                |                       0 |              1 |
| Semaglutide                                                                                                                                                                                                                                 |                       0 |              5 |
| Soya-Bean Oil Refined                                                                                                                                                                                                                       |                       0 |              2 |
| Glofitamab                                                                                                                                                                                                                                  |                       0 |              1 |
| Allergiás Betegségek Diagnosztizálásában Használatos Prick Tesztek Végzésére.                                                                                                                                                               |                       0 |              1 |
| Hyaluronidase                                                                                                                                                                                                                               |                       0 |              5 |
| Rizatriptan                                                                                                                                                                                                                                 |                       0 |             18 |
| Sitagliptin Phosphate Monohydrate                                                                                                                                                                                                           |                       0 |              4 |
| Sulfadiazine Silver Micronised                                                                                                                                                                                                              |                       0 |              1 |
| Hypericum Perforatum Mother Tincture                                                                                                                                                                                                        |                       0 |              1 |
| Diphenylthiourea                                                                                                                                                                                                                            |                       0 |              1 |
| Sodium Phenylbutyrate                                                                                                                                                                                                                       |                       0 |              2 |
| Tannin                                                                                                                                                                                                                                      |                       0 |              1 |
| Idarubicin Hydrochloride                                                                                                                                                                                                                    |                       0 |             17 |
| Doxycycline Monohydrate                                                                                                                                                                                                                     |                       0 |             28 |
| Erythromycin                                                                                                                                                                                                                                |                       0 |             53 |
| Testosterone Cipionate                                                                                                                                                                                                                      |                       0 |              1 |
| Insulin Porcine                                                                                                                                                                                                                             |                       0 |              3 |
| Lemon And Honey With Glucose Lcm                                                                                                                                                                                                            |                       0 |              1 |
| Echinaceae Angustifoliae Tinctura                                                                                                                                                                                                           |                       0 |              1 |
| Ethyl Esters Of Iodised Fatty Acids From Poppyseed Oil                                                                                                                                                                                      |                       0 |              8 |
| Isotretinoin                                                                                                                                                                                                                                |                       0 |             77 |
| Limone                                                                                                                                                                                                                                      |                       0 |              1 |
| Bulevirtide                                                                                                                                                                                                                                 |                       0 |              1 |
| Medikinet Retard                                                                                                                                                                                                                            |                       0 |              1 |
| Entrectinib                                                                                                                                                                                                                                 |                       0 |              1 |
| Febuxostat Hemihydrate                                                                                                                                                                                                                      |                       0 |              5 |
| Alogliptin                                                                                                                                                                                                                                  |                       0 |              5 |
